"name","teams","minutes","fifa","APM","AugAPM","AugAPMSE"
"Kevin De Bruyne","Manchester City",3216,89,0.218985481487063,0.31255716051065,0.0925696919352525
"David Josué Jimenez Silva","Manchester City",2459,87,0.215302407098367,0.291684297705423,0.0962290618188073
"Sergio Agüero","Manchester City",2059,89,0.168997231939665,0.277472294948969,0.0954435204631218
"Mohamed Salah","Liverpool",3013,83,0.241042277881317,0.261405453675085,0.0940881245700382
"Sadio Mané","Liverpool",2260,84,0.14224919897552,0.217495858943056,0.0980579356822893
"Eric Bailly","Manchester United",1064,84,0.144478707799888,0.215263958503579,0.0972367019869515
"Romelu Lukaku","Manchester United",3023,86,0.149064020588981,0.210957074551717,0.0951674369607263
"Wilfried Zaha","Crystal Palace",2683,81,0.161452412919659,0.200955944909113,0.092673838848401
"Henrikh Mkhitaryan","Manchester United,Arsenal",1776,85,0.106968471601396,0.200870405228156,0.094280764148863
"Aymeric Laporte","Manchester City",842,84,0.130180246131455,0.199499910166295,0.0982013345702139
"Heung Min Son","Tottenham Hotspur",2401,82,0.222128440466057,0.197162352118345,0.0956352162102954
"Kyle Walker","Manchester City,Tottenham Hotspur",3185,83,0.197466270085435,0.195339402594416,0.0918455404010514
"Roberto Firmino Barbosa de Oliveira","Liverpool",2865,83,0.131499630103481,0.194665209360722,0.0947444398531281
"Bernardo Mota Carvalho e Silva","Manchester City",1648,84,0.134644415169467,0.194597823458875,0.0967034595352444
"Eden Hazard","Chelsea",2521,90,0.0684144558024212,0.192378353775531,0.0933662177867352
"Gabriel Fernando de Jesus","Manchester City",1741,81,0.185040930765768,0.186092229879377,0.091502149230603
"Paul Pogba","Manchester United",2253,87,0.100562958790064,0.185657378460913,0.0969848490008894
"Alexandre Lacazette","Arsenal",2289,85,0.121297073732148,0.185174246588065,0.0968207355856983
"Zlatan Ibrahimović","Manchester United",122,90,-0.0522376490486447,0.184702065337904,0.105367247099156
"Philippe Coutinho Correia","Liverpool",1141,86,0.0414728338297483,0.184439865925304,0.0978582590337245
"Joel Matip","Liverpool",2116,83,0.117818880430761,0.183913347005242,0.0980047982622585
