"name","teams","minutes","fifa","APM","AugAPM","AugAPMSE"
"Mesut Özil","Arsenal",2972,89,0.150520660277089,0.266222227847062,0.0963175460599525
"Jan Vertonghen","Tottenham Hotspur",3054,83,0.185056548901593,0.230806969604266,0.0948095130543422
"Toby Alderweireld","Tottenham Hotspur",2740,85,0.1465063221066,0.226635169958053,0.0976288103621649
"Santiago Cazorla González","Arsenal",652,86,0.0923278831584459,0.225221369635201,0.0964481535985272
"Nicolás Otamendi","Manchester City",2751,85,0.1848095716571,0.225207807913382,0.0947524779957386
"David Josué Jimenez Silva","Manchester City",2897,87,0.13482109357841,0.223766201367327,0.0955493346958828
"Harry Kane","Tottenham Hotspur",2610,84,0.144722916289291,0.218824398893576,0.0974182676913757
"Vincent Kompany","Manchester City",866,86,0.100416758299469,0.216725422809564,0.0971594757646821
"Paul Pogba","Manchester United",2745,88,0.105936574249774,0.209708429253913,0.0959594114781473
"Christian Eriksen","Tottenham Hotspur",3289,84,0.116093693287956,0.194185331809614,0.092853658533253
"Alexis Sánchez","Arsenal",3379,87,0.0999222169989255,0.193687574000903,0.0960687846434588
"Daniel Sturridge","Liverpool",836,84,0.0977160055482267,0.190496402561848,0.0994411204146621
"Eden Hazard","Chelsea",3068,88,0.0713641803430287,0.189681664850629,0.0987395861260329
"Francesc Fàbregas i Soler","Chelsea",1443,86,0.0750564484420035,0.187489976561114,0.0934344751961886
"Zlatan Ibrahimović","Manchester United",2577,90,0.0468122421831368,0.185833459978854,0.096654359486128
"Leighton Baines","Everton",2962,83,0.0828360378949228,0.182993492415946,0.0919028829464615
"Dele Alli","Tottenham Hotspur",3169,80,0.178613563597881,0.177745484584938,0.0946105906442831
"Romelu Lukaku","Everton",3445,84,0.0610339602084965,0.174101078599103,0.0962860976439316
"Philippe Coutinho Correia","Liverpool",2308,85,0.0771736541963801,0.17249718825844,0.0964081514204247
"Victor Moses","Chelsea",2562,77,0.249734483525029,0.172467274588652,0.0934149632460369
"Yaya Touré","Manchester City",2047,84,0.115446293615679,0.170229866298472,0.0958745082631925
"Kevin De Bruyne","Manchester City",3015,88,0.05371121660001,0.167972000310088,0.0951254613553248
"Eric Bailly","Manchester United",2171,82,0.133831209444527,0.165412483246254,0.0926979439031479
"Mamadou Sakho","Crystal Palace",730,82,0.0835143112361538,0.162313241212431,0.0998828815994239
"Pedro Rodríguez Ledesma","Chelsea",2225,83,0.106038367288749,0.159930879112579,0.0962154868469479
"Henrikh Mkhitaryan","Manchester United",1414,85,0.0628287897299214,0.155814128836449,0.0945631782127403
"Morgan Schneiderlin","Manchester United,Everton",1141,82,0.060662325556028,0.155058759581189,0.095105273166126
"Granit Xhaka","Arsenal",2607,84,0.0910099257486587,0.152279406985663,0.0926081118334344
"David Luiz Moreira Marinho","Chelsea",3104,84,0.0917395865445841,0.152205048775392,0.0951162618252332
"Joel Matip","Liverpool",2595,82,0.107258153667249,0.152053982750042,0.0935157107853779
"Sergio Agüero","Manchester City",2530,89,0.00275256309034661,0.150490636525488,0.0948803587662621
"Juan Manuel Mata García","Manchester United",1687,84,0.0826075595049346,0.150489093200967,0.0962709227661924
"César Azpilicueta Tanco","Chelsea",3602,84,0.11437437568306,0.149881005647117,0.0960093624175697
"Séamus Coleman","Everton",2446,82,0.0978133411065939,0.148161208219617,0.0982607875020174
"Adam Lallana","Liverpool",2420,82,0.0801058745741235,0.145962923558658,0.0961158066544708
"Riyad Mahrez","Leicester City",2940,85,0.0148891894748125,0.145277527618449,0.0941905162549931
"Gary Cahill","Chelsea",3468,83,0.127786276931362,0.145189337593691,0.094482419004355
"Raheem Sterling","Manchester City",2620,82,0.123045484683377,0.144204706007244,0.0960136942866333
"İlkay Gündoğan","Manchester City",725,85,0.0140779210805947,0.142957166433001,0.0992541409138027
"Kieran Trippier","Tottenham Hotspur",619,77,0.158946678348718,0.137568831529431,0.0991830070791135
"Shkodran Mustafi","Arsenal",2401,83,0.0932615673965705,0.136669226633773,0.0927347315682959
"Manuel Agudo Durán","Manchester City",832,83,0.0507245950658266,0.135763153716622,0.0960639319340327
"Laurent Koscielny","Arsenal",2975,85,0.0616655853412465,0.134018386678366,0.0953573044903224
"James Milner","Liverpool",3309,81,0.10187134061027,0.131649298822805,0.0951366625855856
"Diego da Silva Costa","Chelsea",3248,85,0.0600885054373946,0.131137188037912,0.0925834920027318
"Xherdan Shaqiri","Stoke City",1761,82,0.057288785597035,0.130309150633804,0.0967737963590261
"Ashley Williams","Everton",3338,83,0.0304134785533035,0.13011265048691,0.0949627197251132
"Kevin Mirallas","Everton",2163,81,0.0746254585515887,0.129791967937285,0.0920410555281642
"Jordan Henderson","Liverpool",2228,80,0.0938820868822914,0.129384409572145,0.0958590729999925
"Ander Herrera Agüera","Manchester United",2619,82,0.114224483054393,0.129160956816953,0.096399998226214
"Fernando Luiz Rosa","Manchester City",2920,81,0.14232601370456,0.128615639716263,0.0963037674478605
