"name","teams","minutes","fifa","APM","AugAPM","AugAPMSE"
"Mamadou Sakho","Liverpool",1956,81,0.0274479354738313,0.0626715209485477,0.0936137829202526
"Steven Davis","Southampton",2710,76,0.048773829260971,0.0611771255822895,0.0956966084419732
"Willian Borges da Silva","Chelsea",2716,82,0.0534857095276809,0.0608940180790552,0.0949697678593948
"Younès Kaboul","Sunderland",2141,79,0.0217344483386228,0.0607213593225998,0.0964371842701485
"Xherdan Shaqiri","Stoke City",2075,80,0.0166834355870578,0.0586226721140246,0.0932514938944463
"James McArthur","Crystal Palace",2280,76,0.0408918621322205,0.0584586476817052,0.0925333548366519
"Alexandre Song","West Ham United",676,79,0.018694600303495,0.0579844082948238,0.096182837214497
"Nathaniel Clyne","Liverpool",3140,81,0.0213513367161946,0.0576082062360449,0.0955688581726997
"Cheick Tioté","Newcastle United",1271,79,0.0168061986414545,0.0569600375422423,0.0962494424832195
"Jermain Defoe","Sunderland",2694,79,0.0217145145607381,0.0564840133328795,0.0916167869870043
"Emmanuel Emenike","West Ham United",560,80,0.0165969679226023,0.0562788201066645,0.101638900627481
"Andy Carroll","West Ham United",1532,78,0.0368809713225085,0.0560617565050612,0.0934825872115287
"James Tomkins","West Ham United",2003,73,0.0609873341425964,0.0549122805177509,0.0958229448053951
"Bojan Krkic Perez","Stoke City",1759,81,0.00628710992057791,0.0548295615456161,0.0939954707170815
"Jack Wilshere","Arsenal",150,81,-0.00110345996647283,0.0547138485680696,0.0988441854663564
"David Josué Jimenez Silva","Manchester City",1856,88,0.109999460981698,0.0546999679389591,0.0928810587016341
"Marcos Rojo","Manchester United",1301,81,0.0102100762438024,0.0538903032087855,0.0973156176006899
"Joel Campbell","Arsenal",867,76,0.0549398285926863,0.0530358351283551,0.0968205680964005
"Darron Gibson","Everton",270,76,0.0464725868493492,0.053014945766585,0.0991455613619794
"Phil Jones","Manchester United",565,80,0.0198438850218722,0.0526112481922775,0.0965528931340537
"Andros Townsend","Tottenham Hotspur,Newcastle United",1217,75,0.0498163921441605,0.0522964390405184,0.0940874893424038
"Francis Coquelin","Arsenal",1798,78,0.0399666070889725,0.0522691401257491,0.0946629358285297
"Oscar dos Santos Emboaba","Chelsea",1720,84,-0.0087337483772476,0.0519811840678164,0.0988016832572938
"Cédric Ricardo Alves Soares","Southampton",2060,78,0.0201162607849721,0.0517021528161252,0.0925796757163254
"Miguel Angel Britos","Watford",2093,74,0.0516624333128036,0.0511857589457594,0.0947060010844555
"Siem de Jong","Newcastle United",519,77,0.0367022773681517,0.0507144458538495,0.0960297944453092
"César Azpilicueta Tanco","Chelsea",3099,82,0.0372244189828281,0.0489907733793112,0.0939072095140214
"Eric Dier","Tottenham Hotspur",3420,74,0.0620208959112786,0.0487788815605165,0.0924898590785405
"Allan-Roméo Nyom","Watford",2597,77,0.0115978277530358,0.0486674551770053,0.095388939495446
"Sung Yueng Ki","Swansea City",1954,77,0.019981888127561,0.0471064186352472,0.0963485901020874
"Juan Cuadrado","Chelsea",30,82,-0.0212346941784044,0.0467855627649542,0.0989139101337739
"Javier Hernández","Manchester United",28,80,-0.00259626771750625,0.0460086359110185,0.0990995197732607
"Branislav Ivanović","Chelsea",2802,80,0.0504700959893722,0.0453486818271968,0.0940343139820895
"Lee Cattermole","Sunderland",2320,77,0.0234228990109127,0.0452093220185209,0.0933861081274614
"Wayne Routledge","Swansea City",1738,76,0.0340268769836749,0.0451527193360631,0.093850789316025
"Etienne Capoue","Watford",2957,77,-0.000435423693481697,0.0448187028882473,0.0929297692932217
"Bacary Sagna","Manchester City",2574,79,0.0332370190710479,0.0440812430638601,0.0964415341272138
"John Terry","Chelsea",1909,85,-0.0161253723619182,0.0439475249291643,0.0940592895175592
"Seydou Doumbia","Newcastle United",43,79,0.00453620447139502,0.0436522496913331,0.0988980208256479
"Kieran Trippier","Tottenham Hotspur",486,76,0.0369766133673883,0.0429983621622659,0.0954952379277094
"Scott Dann","Crystal Palace",3329,78,0.00773413877504721,0.042230487260394,0.0957792986928778
"Dejan Lovren","Liverpool",2008,79,0.00991605762319329,0.0415030415798638,0.0929657664397112
"Heung Min Son","Tottenham Hotspur",1179,77,0.021459257957837,0.0414077433846626,0.0935092619700388
"Jesse Lingard","Manchester United",1718,69,0.0959434419401766,0.0413420816890246,0.0940787425394787
"Marko Arnautović","Stoke City",2921,78,0.0117586744909216,0.0412832250558261,0.093619134670168
"Christian Benteke","Liverpool",1650,82,-0.0215309176733213,0.0406417108008721,0.0956857716307191
"Romelu Lukaku","Everton",3230,80,0.00119506138400991,0.0401299956106398,0.0960582200063662
"Aaron Ramsey","Arsenal",2667,82,-0.00532306363152016,0.03896023950387,0.0939089485758232
"Gaël Clichy","Manchester City",1142,80,0.00427830853555893,0.0389051971628196,0.095622797084836
"Radamel Falcao García Zarate","Chelsea",259,83,-0.0354548597686591,0.0379954515410283,0.100290520480236
"Kieran Gibbs","Arsenal",442,80,-0.00844589862134374,0.0376805654609799,0.0960831661078882
"DeAndre Yedlin","Sunderland",1919,70,0.0795196336350946,0.037487334516161,0.094939882952964
"Marouane Fellaini","Manchester United",1118,78,0.0116166914400196,0.0368626451237308,0.0989884821329286
"Gerard Deulofeu Lázaro","Everton",1461,78,0.00948177880192351,0.036576838984804,0.0945209640302163
"Steven Caulker","Southampton,Liverpool",173,77,0.0129903402945726,0.0362437222485715,0.0988086159205047
"Ryan Shawcross","Stoke City",1835,80,-0.0101868161086823,0.0356667763954002,0.0972413382958164
"Chris Smalling","Manchester United",3308,79,0.0312153804392689,0.0356070143174285,0.0942903772001711
"Saido Berahino","West Bromwich Albion",1851,76,0.0223713757639289,0.0353354020795938,0.0896576441857229
"Mauro Zárate","West Ham United",827,76,0.0152554810519435,0.0349814360505732,0.0945559581080799
"Anthony Martial","Manchester United",2763,77,0.0251569306254485,0.0344586412974435,0.0933159403735415
"Aaron Cresswell","West Ham United",3415,73,0.0357264209707376,0.0335828396489934,0.0963556746221281
"Nikica Jelavić","West Ham United",328,74,0.03924371325554,0.033064856331438,0.0997769352039028
"Kyle Naughton","Swansea City",1892,74,0.0335184232237871,0.0326139992669831,0.0943578694130036
"Cuco Martina","Southampton",1147,69,0.0834840075028173,0.0324213310025285,0.0980104834346178
"Lamine Koné","Sunderland",1390,74,0.0366961647675346,0.0324211311463064,0.0972406968235886
"Leon Osman","Everton",254,75,0.0283399261343427,0.0323060222889407,0.0987810325083461
"Connor Wickham","Crystal Palace",1380,73,0.0447288085241183,0.0317751832321541,0.0954169917141466
"Charlie Austin","Southampton",233,77,0.00712109314203676,0.0317658365398862,0.0976128463193678
"Dame N'Doye","Sunderland",621,78,-0.00430996802146811,0.0307852661106122,0.0977358150022887
"Leon Britton","Swansea City",1591,77,0.0130130856171225,0.0306899619903291,0.0976034411479774
"Adam Johnson","Sunderland",1221,78,-0.00321485215810324,0.0303341915936153,0.0968771773499249
"Jonny Evans","West Bromwich Albion",2734,78,-0.0153284850807925,0.0298041433672742,0.0964970625524668
"Ibrahim Afellay","Stoke City",2201,77,0.00827296223023274,0.0283037033123832,0.0936022091286793
"Daley Blind","Manchester United",3265,80,-0.00627558614197069,0.0280701792666065,0.0953519916059156
"Martín Demichelis","Manchester City",1102,81,-0.0232623656166565,0.0280216072541296,0.100856746541622
"James Collins","West Ham United",1433,75,0.0151958961987773,0.0264912628461067,0.09759140644009
"Juan Manuel Iturbe","AFC Bournemouth",21,77,0.00235209334445771,0.0263750358574657,0.101889005826372
"Ramiro Funes Mori","Everton",2313,75,0.0312439370171837,0.0263711814953653,0.096953015131472
"Jamie Vardy","Leicester City",3329,71,0.0176298584679309,0.0260634282865206,0.0952974510586538
"Mark Noble","West Ham United",3256,76,-0.00469711609240101,0.0259806981000918,0.0952987202752345
"Jamie Ward","Southampton",1674,71,0.055663013798315,0.0257248147538138,0.0950355288435337
"Glen Johnson","Stoke City",2296,77,0.000799207130044886,0.0256775949108103,0.0948978890849544
